datetime,year,doy,hour,bt,bx_gsm,by_gsm,bz_gsm,temperature,density,speed,ey,kp,dst,f107,ae
2023-01-01 00:00:00,2023,1,0,5.6,-1.9,4.6,0.4,111138.0,2.4,603.0,-0.24,23,-23,147.5,132
2023-01-01 01:00:00,2023,1,1,5.0,-3.9,-0.7,0.5,157287.0,2.6,582.0,-0.29,23,-21,147.5,97
2023-01-01 02:00:00,2023,1,2,5.2,-3.9,-1.5,1.2,143309.0,2.6,581.0,-0.7,23,-23,147.5,133
2023-01-01 03:00:00,2023,1,3,5.0,-3.4,1.4,0.6,138155.0,2.4,576.0,-0.35,30,-26,147.5,180
2023-01-01 04:00:00,2023,1,4,4.9,-2.4,2.6,1.0,130313.0,2.5,585.0,-0.58,30,-26,147.5,139
2023-01-01 05:00:00,2023,1,5,4.8,-3.5,0.7,1.7,125800.0,2.5,569.0,-0.97,30,-23,147.5,55
2023-01-01 06:00:00,2023,1,6,4.8,-4.6,-0.1,0.2,126272.0,2.3,548.0,-0.11,20,-19,147.5,95
2023-01-01 07:00:00,2023,1,7,4.8,-4.5,0.6,1.0,131445.0,2.2,543.0,-0.54,20,-17,147.5,243
2023-01-01 08:00:00,2023,1,8,4.8,-3.2,2.0,0.7,120878.0,2.4,553.0,-0.39,20,-16,147.5,141
2023-01-01 09:00:00,2023,1,9,4.9,-2.4,2.0,-2.0,101674.0,2.4,559.0,1.12,27,-15,147.5,227
2023-01-01 10:00:00,2023,1,10,5.0,-3.2,2.8,0.6,83809.0,2.3,546.0,-0.33,27,-19,147.5,458
2023-01-01 11:00:00,2023,1,11,4.8,-3.8,-0.4,2.6,99753.0,2.4,541.0,-1.41,27,-19,147.5,147
2023-01-01 12:00:00,2023,1,12,4.7,-3.4,1.8,-0.2,120895.0,2.4,535.0,0.11,17,-17,147.5,42
2023-01-01 13:00:00,2023,1,13,4.7,-2.6,2.8,-0.7,114336.0,2.7,537.0,0.38,17,-16,147.5,82
2023-01-01 14:00:00,2023,1,14,4.7,-1.3,4.1,-1.0,103012.0,2.6,539.0,0.54,17,-20,147.5,153
2023-01-01 15:00:00,2023,1,15,4.7,-2.6,3.0,-0.3,105619.0,2.6,522.0,0.16,27,-18,147.5,375
2023-01-01 16:00:00,2023,1,16,4.5,-3.3,2.4,-0.2,124735.0,2.7,515.0,0.1,27,-19,147.5,200
2023-01-01 17:00:00,2023,1,17,3.9,-1.1,2.3,-1.6,147645.0,2.9,525.0,0.84,27,-16,147.5,176
2023-01-01 18:00:00,2023,1,18,4.2,0.1,2.2,-2.4,126711.0,3.0,523.0,1.26,37,-19,147.5,370
2023-01-01 19:00:00,2023,1,19,4.8,-0.0,3.3,-2.9,112862.0,2.9,523.0,1.52,37,-23,147.5,487
2023-01-01 20:00:00,2023,1,20,3.5,-1.1,1.1,-0.7,162523.0,3.5,513.0,0.36,37,-24,147.5,756
2023-01-01 21:00:00,2023,1,21,4.5,-4.0,0.8,1.4,149738.0,2.9,487.0,-0.68,40,-19,147.5,257
2023-01-01 22:00:00,2023,1,22,4.4,-3.6,-0.2,-1.4,137384.0,3.0,487.0,0.68,40,-12,147.5,199
2023-01-01 23:00:00,2023,1,23,4.6,-1.8,1.2,-2.3,125401.0,3.0,499.0,1.15,40,-17,147.5,222
2023-01-02 00:00:00,2023,2,0,4.6,-0.6,3.0,-1.5,122840.0,3.1,505.0,0.76,20,-17,141.5,153
2023-01-02 01:00:00,2023,2,1,4.7,-1.1,3.3,-0.6,106846.0,3.0,503.0,0.3,20,-20,141.5,90
